,Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield
0,Albania,Maize,1990,1485,121,16.37,36613
1,Albania,Potatoes,1990,1485,121,16.37,66667
2,Albania,"Rice, paddy",1990,1485,121,16.37,23333
3,Albania,Sorghum,1990,1485,121,16.37,12500
4,Albania,Soybeans,1990,1485,121,16.37,7000
5,Albania,Wheat,1990,1485,121,16.37,30197
6,Albania,Maize,1991,1485,121,15.36,29068
7,Albania,Potatoes,1991,1485,121,15.36,77818
8,Albania,"Rice, paddy",1991,1485,121,15.36,28538
9,Albania,Sorghum,1991,1485,121,15.36,6667
10,Albania,Soybeans,1991,1485,121,15.36,6066
11,Albania,Wheat,1991,1485,121,15.36,20698
12,Albania,Maize,1992,1485,121,16.06,24876
13,Albania,Potatoes,1992,1485,121,16.06,82920
14,Albania,"Rice, paddy",1992,1485,121,16.06,40000
15,Albania,Sorghum,1992,1485,121,16.06,3747
16,Albania,Soybeans,1992,1485,121,16.06,4507
17,Albania,Wheat,1992,1485,121,16.06,24388
18,Albania,Maize,1993,1485,121,16.05,24185
19,Albania,Potatoes,1993,1485,121,16.05,98446
20,Albania,"Rice, paddy",1993,1485,121,16.05,41786
21,Albania,Soybeans,1993,1485,121,16.05,7998
22,Albania,Wheat,1993,1485,121,16.05,29976
23,Albania,Maize,1994,1485,201,16.96,25848
24,Albania,Potatoes,1994,1485,201,16.96,81404
25,Albania,Soybeans,1994,1485,201,16.96,7927
26,Albania,Wheat,1994,1485,201,16.96,24745
27,Albania,Maize,1995,1485,251,15.67,31300
28,Albania,Potatoes,1995,1485,251,15.67,111323
29,Albania,Soybeans,1995,1485,251,15.67,11791
30,Albania,Wheat,1995,1485,251,15.67,28703
31,Albania,Maize,1996,1485,313.96,15.64,32604
32,Albania,Potatoes,1996,1485,313.96,15.64,106138
33,Albania,Soybeans,1996,1485,313.96,15.64,15480
34,Albania,Wheat,1996,1485,313.96,15.64,21741
35,Albania,Maize,1997,1485,376.93,15.9,31862
36,Albania,Potatoes,1997,1485,376.93,15.9,109874
37,Albania,Soybeans,1997,1485,376.93,15.9,12768
38,Albania,Wheat,1997,1485,376.93,15.9,28516
39,Albania,Maize,1998,1485,439.89,16.27,33416
40,Albania,Potatoes,1998,1485,439.89,16.27,127212
41,Albania,Soybeans,1998,1485,439.89,16.27,14327
42,Albania,Wheat,1998,1485,439.89,16.27,28037
43,Albania,Maize,1999,1485,502.86,16.57,37455
44,Albania,Potatoes,1999,1485,502.86,16.57,142018
45,Albania,Soybeans,1999,1485,502.86,16.57,17143
46,Albania,Wheat,1999,1485,502.86,16.57,24954
47,Albania,Maize,2000,1485,565.82,16.67,38811
